"Hand #","Date","Stake","My C Won","Final Hand","Hole Cards","Flop","Winner","Position","PF Act","F Act","T Act","R Act","Showdown","Bet PF","Bet F","Bet T","Bet R","Flop Donk","Flop Float","Turn Donk","Turn Float","Turn Probe","River Donk","River Float","River Probe","Flop Call","Turn Call","River Call","Hole Cards Text","Flop Text","Turn Text","River Text"
"19335883466","2019/12/15  7:17 pm","€0.04 NL (6 max)","-€0.20","(folded flop)","8080000","41204","Eratoon","CO","RC","F","","","false","€0.20","€0.00","€0.00","€0.00","","","","","","","","","false","","","8d 8c  ","4h Qh 4c","",""
"19335874761","2019/12/15  7:15 pm","€0.04 NL (6 max)","€0.42","(did not show hand)","13120000","20702","Radames06","BTN","R","B","","","false","€0.20","€0.30","€0.00","€0.00","","","","","","","","","","","","Kc Qc  ","2h 7c 2s","",""
"19335866778","2019/12/15  7:14 pm","€0.04 NL (6 max)","-€1.40","Two Pair, Aces and Jacks","14110000","51413","Nefarious973","SB","R","BC","","","true","€0.20","€1.20","€0.00","€0.00","","","","","","","","","true","","","Ah Jd  ","5h Ac Kd","Js","6d"
"19335863997","2019/12/15  7:13 pm","€0.04 NL (6 max)","-€0.48","(folded turn)","12110000","30709","badas44","CO","R","X","RF","","false","€0.12","€0.00","€0.36","€0.00","","","","","","","","","","false","","Qc Js  ","3c 7c 9h","10s",""
"19335861342","2019/12/15  7:13 pm","€0.04 NL (6 max)","-€0.16","(folded flop)","14080000","130212","mulane16","BB","R","F","","","false","€0.16","€0.00","€0.00","€0.00","","","","","","","","","false","","","As 8h  ","Kc 2c Qc","",""
"19335850086","2019/12/15  7:11 pm","€0.04 NL (6 max)","-€0.23","(folded flop)","14090000","60513","moune44","SB","R","BF","","","false","€0.12","€0.11","€0.00","€0.00","","","","","","","","","false","","","As 9c  ","6s 5c Kd","",""
"19335845445","2019/12/15  7:10 pm","€0.04 NL (6 max)","-€0.32","One Pair, Fives","13050000","121107","Dem0nFish","BB","C","XC","XC","X","true","€0.12","€0.04","€0.16","€0.00","false","","false","","","false","","","true","true","","Ks 5s  ","Qd Jh 7h","5c","8c"
"19335822041","2019/12/15  7:07 pm","€0.04 NL (6 max)","-€0.12","One Pair, Kings","14080000","31313","Coachgmt75","BB","C","X","X","X","true","€0.12","€0.00","€0.00","€0.00","false","","","","false","","","","","","","Ac 8s  ","3s Ks Kd","6s","Jd"
"19335819402","2019/12/15  7:06 pm","€0.04 NL (6 max)","-€0.10","(folded flop)","7070000","21003","kisscool555","BTN","R","F","","","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","false","","","7h 7s  ","2h 10h 3s","",""
"19335816977","2019/12/15  7:06 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","2020000","60705","Dem0nFish","MP","R","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","2h 2c  ","6h 7d 5s","",""
"19335807736","2019/12/15  7:04 pm","€0.04 NL (6 max)","€0.11","(did not show hand)","14030000","141403","Radames06","BTN","R","B","","","false","€0.10","€0.08","€0.00","€0.00","","","","","","","","","","","","Ad 3s  ","As Ac 3h","",""
"19335797061","2019/12/15  7:03 pm","€0.04 NL (6 max)","-€0.44","One Pair, Aces","14020000","50706","Dem0nFish","BB","C","X","X","XC","true","€0.18","€0.00","€0.00","€0.26","false","","","","false","","","","","","true","As 2s  ","5c 7c 6d","Jd","Ac"
"19335789469","2019/12/15  7:01 pm","€0.04 NL (6 max)","-€0.42","(folded river)","14100000","121105","moune44","CO","R","B","B","XF","false","€0.12","€0.10","€0.20","€0.00","","","","","","","","","","","false","As 10h  ","Qd Jc 5c","Qh","10c"
"19335787648","2019/12/15  7:00 pm","€0.04 NL (6 max)","€0.51","(did not show hand)","14130000","110506","Radames06","CO","R","B","B","B","false","€0.12","€0.10","€0.30","€0.77","","","","","","","","","","","","Ah Kd  ","Jc 5s 6d","Ks","3d"
"19335785847","2019/12/15  7:00 pm","€0.04 NL (6 max)","€0.22","One Pair, Eights","13080000","120903","Radames06","BTN","R","X","C","X","true","€0.10","€0.00","€0.11","€0.00","","","","","","","","","","true","","Kd 8d  ","Qd 9s 3c","4d","8s"
"19335779348","2019/12/15  6:58 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","9080000","120510","kisscool555","BTN","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","9s 8s  ","Qs 5d 10h","6s","10c"
"19335775669","2019/12/15  6:56 pm","€0.04 NL (6 max)","-€0.10","(folded turn)","10090000","140407","badas44","BTN","R","X","F","","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","","false","","10h 9s  ","Ah 4c 7d","3h","5c"
"19335769746","2019/12/15  6:55 pm","€0.04 NL (6 max)","€0.16","(did not show hand)","14090000","120713","Radames06","BB","R","B","","","false","€0.16","€0.16","€0.00","€0.00","","","","","","","","","","","","Ah 9d  ","Qh 7s Kc","",""
"19335761741","2019/12/15  6:53 pm","€0.04 NL (6 max)","-€0.97","Two Pair, Nines and Eights","9070000","80809","kisscool555","BB","C","B","B","X","true","€0.12","€0.22","€0.63","€0.00","","true","","","","","","","","","","9d 7d  ","8c 8h 9c","7h","10s"
"19335753055","2019/12/15  6:51 pm","€0.04 NL (6 max)","-€0.43","(folded river)","13110000","41403","Yohann_GG","BB","C","X","BC","XF","false","€0.10","€0.00","€0.33","€0.00","false","","","","true","false","","","","true","false","Kh Js  ","4c Ad 3c","10d","9h"
"19335748598","2019/12/15  6:51 pm","€0.04 NL (6 max)","-€0.10","(folded flop)","10070000","50902","Yohann_GG","BTN","R","F","","","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","false","","","10d 7d  ","5s 9h 2h","",""
"19335730841","2019/12/15  6:47 pm","€0.04 NL (6 max)","-€0.20","(folded river)","4040000","50709","titi741","SB","RC","X","X","XF","false","€0.20","€0.00","€0.00","€0.00","false","","","","false","","","","","","false","4c 4s  ","5d 7d 9h","Ac","8d"
"19335713377","2019/12/15  6:44 pm","€0.04 NL (6 max)","€0.57","Two Pair, Aces and Queens","14090000","21204","Radames06","BB","C","XC","X","B","true","€0.08","€0.18","€0.00","€0.29","false","","false","","","","","","true","","","Ac 9c  ","2d Qs 4d","Qd","As"
"19335685046","2019/12/15  6:39 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","13110000","111009","Ruslaan_DJ","CO","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","Ks Js  ","Jh 10h 9h","6d","Qd"
"19335665195","2019/12/15  6:35 pm","€0.04 NL (6 max)","-€0.04","(folded flop)","11030000","130608","Pascal4988","BB","X","XF","","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","false","","","Jd 3s  ","Kc 6c 8d","",""
"19335660854","2019/12/15  6:34 pm","€0.04 NL (6 max)","-€0.08","(folded flop)","14110000","20305","RICO73630","BB","C","F","","","false","€0.08","€0.00","€0.00","€0.00","","","","","","","","","false","","","Ah Jc  ","2h 3h 5d","Kh",""
"19335612721","2019/12/15  6:26 pm","€0.04 NL (6 max)","€0.29","One Pair, Queens","12080000","20509","Radames06","SB","R","X","X","X","true","€0.16","€0.00","€0.00","€0.00","","","","","","","","","","","","Qs 8s  ","2d 5c 9s","Ad","Qc"
"19335588063","2019/12/15  6:21 pm","€0.04 NL (6 max)","-€0.14","One Pair, Sevens","7070000","41103","RICO73630","SB","C","XC","X","X","true","€0.04","€0.10","€0.00","€0.00","","","false","","","","","","true","","","7d 7s  ","4c Jh 3s","10h","2s"
"19335575301","2019/12/15  6:19 pm","€0.04 NL (6 max)","€0.15","(did not show hand)","12120000","141013","Radames06","MP","R","B","","","false","€0.12","€0.13","€0.00","€0.00","","","","","","","","","","","","Qc Qs  ","Ac 10d Kc","",""
"19335563978","2019/12/15  6:17 pm","€0.04 NL (6 max)","-€0.16","(folded flop)","14060000","121102","marcoun","BTN","R","F","","","false","€0.16","€0.00","€0.00","€0.00","","","","","","","","","false","","","Ac 6s  ","Qh Jd 2s","",""
"19335555363","2019/12/15  6:16 pm","€0.04 NL (6 max)","€0.13","(did not show hand)","9090000","71312","Radames06","MP","R","B","","","false","€0.12","€0.12","€0.00","€0.00","","","","","","","","","","","","9d 9s  ","7d Kc Qd","",""
"19335553774","2019/12/15  6:15 pm","€0.04 NL (6 max)","-€0.04","(folded flop)","8040000","120605","RICO73630","BB","X","F","","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","false","","","8c 4s  ","Qs 6h 5c","6c","Qc"
"19335547911","2019/12/15  6:14 pm","€0.04 NL (6 max)","€4.22","Flush, Ace High","14110000","121306","Radames06","EP","RC","R","","","true","€0.64","€3.56","€0.00","€0.00","","","","","","","","","false","","","As Js  ","Qc Ks 6s","3s","5s"
"19335543887","2019/12/15  6:14 pm","€0.04 NL (6 max)","-€0.11","One Pair, Sixes","8060000","30414","xinxanxon1","BB","X","X","B","X","true","€0.04","€0.00","€0.07","€0.00","","","","","","","","","","","","8d 6s  ","3s 4d As","6c","2h"
"19335536628","2019/12/15  6:12 pm","€0.04 NL (6 max)","€0.16","One Pair, Threes","14110000","60703","Radames06","MP","R","X","X","X","true","€0.12","€0.00","€0.00","€0.00","","","","","","","","","","","","Ah Jc  ","6d 7c 3d","3h","5c"
"19335535548","2019/12/15  6:12 pm","€0.04 NL (6 max)","€0.83","Two Pair, Kings and Jacks","14110000","131113","Radames06","CO","C","C","C","X","true","€0.08","€0.21","€0.60","€0.00","","","","","","","false","","true","true","","Ad Jh  ","Kh Jc Ks","4h","5h"
"19335528190","2019/12/15  6:11 pm","€0.04 NL (6 max)","-€0.04","(folded turn)","12080000","41404","Pascal4988","BB","X","X","XF","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","false","","Qh 8h  ","4h Ac 4c","7c",""
"19335523080","2019/12/15  6:10 pm","€0.04 NL (6 max)","-€0.62","(folded turn)","14040000","140313","titi741","BB","R","B","XF","","false","€0.30","€0.32","€0.00","€0.00","","","","","","","","","","false","","As 4s  ","Ad 3d Kd","Jc",""
"19335521089","2019/12/15  6:09 pm","€0.04 NL (6 max)","€0.16","(did not show hand)","6060000","90313","Radames06","EP","R","B","","","false","€0.12","€0.12","€0.00","€0.00","","","","","","","","","","","","6s 6d  ","9h 3h Kc","",""
"19335055893","2019/12/15  4:29 pm","€0.04 NL (6 max)","-€0.10","(folded turn)","11070000","60612","guillaume627","BTN","R","X","F","","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","","false","","Jc 7c  ","6s 6h Qs","4c",""
"19335051287","2019/12/15  4:28 pm","€0.04 NL (6 max)","-€6.54","Two Pair, Eights and Sevens","14130000","70808","SoOpa LovA","SB","RRR","","","","true","€7.11","€0.00","€0.00","€0.00","","","","","","","","","","","","Ah Kh  ","7h 8d 8s","5h","7c"
"19335049234","2019/12/15  4:27 pm","€0.04 NL (6 max)","-€0.04","(folded turn)","7020000","130511","guillaume627","BB","X","X","F","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","false","","7s 2s  ","Kc 5d Jh","4h",""
"19335049169","2019/12/15  4:27 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","4040000","140713","Nothing88.","SB","C","XF","","","false","€0.12","€0.00","€0.00","€0.00","false","","","","","","","","false","","","4c 4h  ","Ah 7h Ks","",""
"19335037406","2019/12/15  4:24 pm","€0.04 NL (6 max)","€0.07","(did not show hand)","8070000","101006","Radames06","BB","C","B","","","false","€0.08","€0.07","€0.00","€0.00","","true","","","","","","","","","","8s 7d  ","10c 10d 6s","",""
