"Hand #","Date","Stake","My C Won","Final Hand","Hole Cards","Flop","Winner","Position","PF Act","F Act","T Act","R Act","Showdown","Bet PF","Bet F","Bet T","Bet R","Flop Donk","Flop Float","Turn Donk","Turn Float","Turn Probe","River Donk","River Float","River Probe","Flop Call","Turn Call","River Call","Hole Cards Text","Flop Text","Turn Text","River Text"
"19355034475","2019/12/20  9:41 pm","€0.04 NL (6 max)","-€6.10","Two Pair, Queens and Threes","12120000","30314","Ruslaan_DJ","EP","RR","","","","true","€6.10","€0.00","€0.00","€0.00","","","","","","","","","","","","Qh Qc  ","3d 3h As","Kc","5s"
"19355026299","2019/12/20  9:40 pm","€0.04 NL (6 max)","€2.10","Two Pair, Sixes and Twos","6060000","50302","Radames06","MP","RC","R","X","C","true","€0.20","€1.00","€0.00","€1.00","","","","","","","","","false","","true","6d 6s  ","5d 3h 2c","2d","Qd"
"19355008569","2019/12/20  9:36 pm","€0.04 NL (6 max)","€0.13","(did not show hand)","14120000","101408","Radames06","BTN","R","X","B","","false","€0.12","€0.00","€0.18","€0.00","","","","","","","","","","","","Ac Qh  ","10d As 8d","Qd",""
"19354996549","2019/12/20  9:34 pm","€0.04 NL (6 max)","-€0.91","Two Pair, Kings and Jacks","13110000","120611","yodastunt","BB","CC","XC","X","C","true","€0.12","€0.12","€0.00","€0.67","false","false","false","","","","","","true","","true","Kh Jc  ","Qd 6s Js","Ks","3h"
"19354993813","2019/12/20  9:33 pm","€0.04 NL (6 max)","-€0.10","One Pair, Twos","12100000","140902","headache1414","BB","C","X","X","X","true","€0.10","€0.00","€0.00","€0.00","","false","","","","","","","","","","Qc 10s  ","As 9s 2d","2c","5c"
"19354983293","2019/12/20  9:31 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","12020000","60707","Trolel","BB","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","Qc 2c  ","6h 7c 7s","",""
"19354981109","2019/12/20  9:31 pm","€0.04 NL (6 max)","€0.75","(did not show hand)","14110000","111007","Radames06","BTN","R","B","B","B","false","€0.16","€0.18","€0.46","€1.55","","","","","","","","","","","","Ac Jd  ","Jh 10c 7h","5d","As"
"19354967320","2019/12/20  9:28 pm","€0.04 NL (6 max)","-€0.16","(folded flop)","5050000","80304","louloubret","BTN","R","F","","","false","€0.16","€0.00","€0.00","€0.00","","","","","","","","","false","","","5d 5s  ","8c 3h 4d","",""
"19354958216","2019/12/20  9:26 pm","€0.04 NL (6 max)","-€0.24","(folded flop)","7070000","61406","carlospkr25","SB","CC","XF","","","false","€0.24","€0.00","€0.00","€0.00","false","","","","","","","","false","","","7d 7s  ","6s Ad 6h","6d","5h"
"19354943699","2019/12/20  9:24 pm","€0.04 NL (6 max)","€0.53","Two Pair, Fours and Twos","4040000","20203","Radames06","BB","C","XC","X","X","true","€0.12","€0.17","€0.00","€0.00","false","","false","","","","","false","true","","","4c 4h  ","2s 2h 3h","7d","10s"
"19354929016","2019/12/20  9:21 pm","€0.04 NL (6 max)","€1.10","(did not show hand)","11110000","20406","Radames06","BTN","R","B","B","","false","€0.50","€0.70","€1.50","€0.00","","","","","","","","","","","","Js Jd  ","2s 4s 6d","6c",""
"19354919309","2019/12/20  9:19 pm","€0.04 NL (6 max)","-€3.96","One Pair, Tens","10100000","21112","Trolel","BB","R","BR","","","true","€0.50","€3.50","€0.00","€0.00","","","","","","","","","false","","","10h 10d  ","2c Jd Qd","Ah","3h"
